Inf,UID,Name,Club,Position,Age,Ability,Transfer Value,Salary,Aerial Reach,Strength,Jumping Reach,Vision,Bravery,Technique,Heading,First Touch,Pace,Positioning,Decisions,Control,Composure,Anticipation,Tackling,Pass,Marking,Recommendation
,83320135,António Silva - Portuguese,Benfica - Portuguese Premier League,D (C),20,Unknown,£40M - £50M,"£10,750 p/w",2,13,14,12,13,13,14,13,15,14,15,14,15,15,15,14,14,- - -
,53110135,Kristoffer Ajer - Norwegian,Brentford - English Premier Division,"D (C), DM, M (C)",25,,£40M - £49M,"£47,500 p/w",1,14,16,13,16,13,15,12,14,13,12,13,14,14,14,13,15,- - -
Inj,19273276,Éder Militão - Brazilian,R. Madrid - Spanish First Division,D (C),25,Unknown,£37M - £56M,"£155,000 p/w",1,16,15,12,16,12,15,12,16,16,14,13,13,16,16,14,15,- - -
,29080394,Adam Webster - English,Brighton - English Premier Division,D (C),28,Unknown,£34M - £52M,"£55,000 p/w",1,13,15,13,14,13,14,13,15,14,14,14,14,14,15,14,14,- - -
,14186894,Juan Foyth - Argentinian,Villarreal - Spanish First Division,"D (RC), DM",25,Unknown,£33M - £51M,"£36,000 p/w",1,13,13,13,16,15,15,15,14,14,12,12,16,14,16,14,14,- - -
Wnt,83228731,Gonçalo Inácio - Portuguese,Sporting CP - Portuguese Premier League,D (C),22,Unknown,£33M - £42M,"£21,000 p/w",1,14,16,15,14,14,16,13,14,15,13,16,15,14,12,15,15,- - -
,28116427,Eric García - Spanish,Girona - Spanish First Division,"D (C), DM",22,Unknown,£32M - £41M,"£49,500 p/w",3,13,13,14,12,14,13,14,13,16,14,14,15,14,14,15,14,- - -
Wnt,49038271,Maxence Lacroix - French,VfL Wolfsburg - Bundesliga,"D (C), DM",23,,£31M - £38M,"£60,000 p/w",2,14,16,12,14,13,14,12,17,14,13,12,12,15,14,13,14,- - -
,29141827,Ezri Konsa - English,Aston Villa - English Premier Division,D (C),26,Unknown,£30M - £37M,"£90,000 p/w",3,14,14,14,14,14,15,14,14,14,14,13,15,15,16,14,14,- - -
,2000036812,Callum Doyle - English,Leicester - Sky Bet Championship,D (LC),20,Unknown,£29M - £44M,"£10,000 p/w",2,15,14,14,13,12,14,12,13,14,14,12,14,14,13,14,12,- - -
Unh,16182894,Dayot Upamecano - French,FC Bayern - Bundesliga,D (C),25,,£28M - £40M,"£180,000 p/w",3,17,15,15,17,13,14,13,17,15,14,13,16,13,17,16,15,- - -
Inj,29074544,Tyrone Mings - English,Aston Villa - English Premier Division,D (LC),30,,£23M - £33M,"£100,000 p/w",3,15,15,12,16,13,16,12,14,14,13,13,14,13,15,15,14,- - -
Inj,37076335,Jan Paul van Hecke - Dutch,Brighton - English Premier Division,D (C),23,Unknown,£22M - £27M,"£30,000 p/w",3,14,15,13,15,13,15,13,13,14,12,14,14,13,17,13,15,- - -
Inj,85120721,Abdou Diallo - Senegalese,Al-Arabi - Qatar Stars League,D (LC),27,Unknown,£22M - £26M,"£50,000 p/w",3,15,14,12,14,13,14,12,15,14,13,12,15,13,14,13,14,- - -
Wnt,14185869,Facundo Medina - Argentinian,RC Lens - Ligue 1 Uber Eats,D (C),24,Unknown,£20M - £24M,"£21,500 p/w",2,14,14,13,14,12,14,14,15,14,14,13,12,13,13,14,15,- - -
Inj,37049949,Jerry St. Juste - Dutch,Sporting CP - Portuguese Premier League,"D (RC), WB (R)",27,Unknown,£17M - £20M,"£23,500 p/w",2,14,13,12,13,13,14,12,17,13,12,13,12,14,15,13,14,- - -
,91190673,Josip Stanišić - Croatian,Bayer 04 - Bundesliga,"D (RLC), WB (R), DM",23,Unknown,£14M - £16.5M,"£41,000 p/w",1,13,13,12,16,12,13,12,15,13,13,14,12,13,15,13,13,- - -
,67245413,Óscar Mingueza - Spanish,Vigo - Spanish First Division,"D (RLC), WB (R)",24,Unknown,£13.5M - £16.5M,"£18,750 p/w",3,13,13,13,15,13,14,12,14,14,12,13,14,14,15,13,13,- - -
,29076103,Calum Chambers - English,Aston Villa - English Premier Division,"D (RC), DM",28,Unknown,£13M - £16.5M,"£55,000 p/w",4,13,14,12,14,13,14,13,13,13,13,13,14,12,14,13,14,- - -
Wnt,2000136297,Robert Renan - Brazilian,Zenit - Russian Premier League,D (C),20,Unknown,£11M - £13.5M,"£16,250 p/w",3,12,13,14,12,13,12,13,13,14,14,12,13,14,14,14,14,- - -
Wnt,48034615,Nordi Mukiele - French,Paris SG - Ligue 1 Uber Eats,"D (RC), WB (R)",26,Unknown,£6.6M - £8.4M,"£49,500 p/w",3,14,15,12,17,13,13,13,15,12,12,12,13,15,15,13,14,- - -
Int,49044569,Moussa Diarra - Malian,Toulouse FC - Ligue 1 Uber Eats,"D (LC), WB (L), DM",23,,£3.6M - £6.6M,"£7,250 p/w",3,12,13,12,12,13,13,12,12,12,12,12,12,13,13,13,13,- - -
,98030084,Edimilson Fernandes - Swiss,Mainz 05 - Bundesliga,"D (C), DM, M (C)",27,Unknown,£3.6M - £5.4M,"£29,500 p/w",4,13,13,13,12,15,12,13,13,14,13,12,13,15,12,13,13,- - -
,95078765,Marcel Hoffmeier - German,Paderborn - Bundesliga 2,"D (RC), DM",24,,£1.4M - £2.7M,"£7,000 p/w",2,13,12,12,12,12,12,12,14,12,12,12,13,12,13,13,12,- - -
Wnt,48044279,Lilian Brassier - French,Brest - Ligue 1 Uber Eats,D (LC),24,Unknown,£750K - £4.7M,"£9,750 p/w",2,15,13,13,13,12,14,13,14,12,13,12,12,12,14,13,12,- - -
,67272504,Javi Montero - Spanish,Arouca - Portuguese Premier League,"D (C), DM",24,Unknown,£150K - £1.5M,"£17,500 p/w",2,14,13,12,15,13,13,13,13,14,13,13,14,13,12,14,13,- - -
Rst,37024025,Virgil van Dijk - Dutch,Liverpool - English Premier Division,D (C),32,Unknown,Not for Sale,"£240,000 p/w",2,17,17,14,15,16,17,17,15,16,16,16,16,16,17,16,16,- - -
,98007212,Fabian Schär - Swiss,Newcastle - English Premier Division,D (C),32,Unknown,Not for Sale,"£76,000 p/w",2,15,14,15,15,13,15,14,12,15,13,14,15,15,16,15,16,- - -
,28060397,John Stones - English,Man City - English Premier Division,"D (RC), DM",29,,Not for Sale,"£200,000 p/w",1,15,16,14,17,16,14,14,15,16,15,16,18,16,16,16,13,- - -
,,,,,,,,,,,,,,,,,,,,,,,,,,
https://www.sigames.com/,,,,,,,,,,,,,,,,,,,,,,,,,,
